Size;Time;Thread
10;0.00988854;1
10;0.00840538;2
10;0.00981385;2
10;0.00847936;2
10;0.0084759;2
10;0.00875185;2
10;0.00462238;4
10;0.00549886;4
10;0.00475432;4
10;0.00548466;4
10;0.00487792;4
10;0.00246961;8
10;0.00258693;8
10;0.00266386;8
10;0.00277442;8
10;0.00261805;8
10;0.00137824;16
10;0.00148296;16
10;0.00148978;16
10;0.00146952;16
10;0.00167079;16
10;0.000939548;32
10;0.000932012;32
10;0.00102792;32
10;0.00098034;32
10;0.000937775;32
10;0.000835866;64
10;0.00115716;64
10;0.00114294;64
10;0.00109317;64
10;0.0012076;64
11;0.047893;1
11;0.0477375;1
11;0.047433;1
11;0.0474813;1
11;0.0471886;1
11;0.042118;2
11;0.0423707;2
11;0.0449711;2
11;0.0454424;2
11;0.045286;2
11;0.0239574;4
11;0.0302454;4
11;0.0310307;4
11;0.0262698;4
11;0.0237051;4
11;0.0116949;8
11;0.0127331;8
11;0.0142542;8
11;0.014796;8
11;0.012804;8
11;0.0068398;16
11;0.00797583;16
11;0.00781616;16
11;0.00706194;16
11;0.00760211;16
11;0.0375968;32
11;0.00377564;32
11;0.00624407;32
11;0.00623441;32
11;0.00555459;32
11;0.0021499;64
11;0.00294995;64
11;0.00309035;64
11;0.00302548;64
11;0.00335744;64
12;0.259931;1
12;0.25666;1
12;0.255099;1
12;0.253985;1
12;0.253355;1
12;0.155941;2
12;0.206266;2
12;0.148033;2
12;0.136508;2
12;0.145892;2
12;0.0885585;4
12;0.0962589;4
12;0.0992576;4
12;0.0996792;4
12;0.110348;4
12;0.0573729;8
12;0.0543199;8
12;0.0534156;8
12;0.0565433;8
12;0.0715048;8
12;0.0284769;16
12;0.0312962;16
12;0.0285722;16
12;0.0313956;16
12;0.0329583;16
12;0.0880198;32
12;0.0206881;32
12;0.0214378;32
12;0.0197915;32
12;0.0194652;32
12;0.150818;64
12;0.00942185;64
12;0.0095435;64
12;0.143953;64
12;0.0132097;64
4;7.43195e-06;1
4;7.85291e-06;1
4;7.72998e-06;1
4;7.51764e-06;1
4;7.3798e-06;1
4;1.52178e-05;2
4;1.29715e-05;2
4;1.27107e-05;2
4;1.23978e-05;2
4;1.23046e-05;2
4;1.62907e-05;4
4;1.56835e-05;4
4;1.5907e-05;4
4;1.64397e-05;4
4;1.57431e-05;4
4;1.55829e-05;8
4;1.70693e-05;8
4;1.63019e-05;8
4;1.68197e-05;8
4;1.55196e-05;8
4;1.81682e-05;16
4;2.04556e-05;16
